Guid,Name,Pricebook2Id,Product2Id,UnitPrice,IsActive,UseStandardPrice,ProductCode,IsArchived
05317e0f-46a1-478f-a697-52e25ef8464d,Remote Monitoring Subscription,2ae8147d-07cc-4db0-aa86-b3814deae4cb,dfc8ff15-502c-4c58-922e-82d743ed5f66,800.0,true,true,R-100,false
10b68901-5b89-4ab2-8e54-551a1e863658,Wind Turbine Exploded Parts,2ae8147d-07cc-4db0-aa86-b3814deae4cb,a2e54fcf-6888-4958-ae9b-aa19ca019aa7,0.0,true,false,WT-EXP100,false
133c61f4-5d7b-4fb0-b3e4-d149489daacc,Labor,2ae8147d-07cc-4db0-aa86-b3814deae4cb,fabfca28-7c3e-4f26-ac84-1706d56a9edb,150.0,true,true,L-1000,false
32e5b74c-4388-4e03-8f01-1efc1ff3aa51,Energy Meter,2ae8147d-07cc-4db0-aa86-b3814deae4cb,d7f87947-b1cd-4f4c-a0fc-4e0f469d29a3,500.0,true,true,E-1000,false
44fe84d8-9ee9-4b08-a7ee-767eed218aab,Large Turbine,2ae8147d-07cc-4db0-aa86-b3814deae4cb,7a826b7e-1f2b-4129-9af6-8e52d3277440,10000.0,true,true,A-1000,false
558e4e1d-83ea-4a53-9ea8-a60ba51242ad,Product A,2ae8147d-07cc-4db0-aa86-b3814deae4cb,1c10d8a1-4599-459d-bd6e-c48cb40636a4,599.0,true,true,46372819,false
5d020c13-c814-4e19-9756-0a76a7d53517,Connector Cables,2ae8147d-07cc-4db0-aa86-b3814deae4cb,73b72920-ff99-4944-99df-60472564eff1,250.0,true,true,C-300,false
75c5e139-0df7-46c5-b866-4f030ef49e18,Power Inverter,2ae8147d-07cc-4db0-aa86-b3814deae4cb,cc9c4320-d09b-4a21-a883-afa1163bbf71,2500.0,true,true,H-36378,false
768cb90a-6d3b-4df9-ac9d-d055800f8530,Starter Kit,2ae8147d-07cc-4db0-aa86-b3814deae4cb,d201fce2-ddf7-48dc-aed7-322293dcbda8,12500.0,true,true,A-5000,false
7a39c2dc-82a0-44d7-9489-fa4d0dc10648,"Battery, Low Capacity",2ae8147d-07cc-4db0-aa86-b3814deae4cb,feaf9bce-1fd8-49dc-bcfb-2a4e8e99dfe1,1500.0,true,true,C-45678,false
85705821-55be-4ff2-bdf8-92c502a51fc4,Performance Optimization,2ae8147d-07cc-4db0-aa86-b3814deae4cb,40e74082-78ba-4b7e-9f3a-bf6cad99d360,500.0,true,true,L-100,false
ab13fcb6-4f3a-4e4a-99ca-8943c78f79a5,Fuses (Set of 10),2ae8147d-07cc-4db0-aa86-b3814deae4cb,b0f25e5d-74af-411a-b7eb-fc2c357fea8b,100.0,true,true,C-100,false
d529fef6-cf65-4409-8e00-faf7df22a1c7,Mounting System,2ae8147d-07cc-4db0-aa86-b3814deae4cb,06eb7f3f-a646-40c5-85b7-879ae2ff7a7b,175.0,true,true,C-400,false
d7a07a41-a756-4bae-a5d2-4b590f969170,Small Turbine,2ae8147d-07cc-4db0-aa86-b3814deae4cb,27a1e8ed-4b28-4123-a103-c8905993c885,6000.0,true,true,A-100,false
e0957f8c-c8ae-4472-b95a-292c8cd564bd,Maintenance Contract,2ae8147d-07cc-4db0-aa86-b3814deae4cb,8ca6b261-7887-414e-b9f7-3fe106ac941d,0.0,true,true,M-1000,false
e59b8aac-701c-452a-8cd7-9cf38d50a3a4,"Battery, High Capacity",2ae8147d-07cc-4db0-aa86-b3814deae4cb,df0df29b-f2f7-47d3-9f7e-9ea1cd81014e,2500.0,true,true,B-1000,false
ee648de6-56c5-4a1f-8c4e-e60d458d8a41,Installation Services,2ae8147d-07cc-4db0-aa86-b3814deae4cb,7ee10cc9-e534-4ca4-b11e-0ea72ce0492c,1100.0,true,true,INST-100,false
f7f4788f-f302-4448-bfd7-4d8ab5196c78,Product B,2ae8147d-07cc-4db0-aa86-b3814deae4cb,303fee31-ab88-49ac-ba42-e13a983fba36,999.0,true,true,46372818,false
f9bfdc07-aee7-4553-9a9a-91b3c1a400eb,Product C,2ae8147d-07cc-4db0-aa86-b3814deae4cb,139820c0-930f-4610-9c79-4f8c0718b1df,1499.0,true,true,46372817,false
038d150b-2937-44d9-83e2-b349b615d863,"Battery, High Capacity",b4b97aa1-6f59-4cec-8286-2cf2ed416c24,df0df29b-f2f7-47d3-9f7e-9ea1cd81014e,2500.0,true,true,B-1000,false
04d3ab45-e10f-4f06-aad7-4c3b366eba17,Large Turbine,b4b97aa1-6f59-4cec-8286-2cf2ed416c24,7a826b7e-1f2b-4129-9af6-8e52d3277440,10000.0,true,true,A-1000,false
14519ddd-5126-44ca-a780-1882a70a6d32,Maintenance Contract,b4b97aa1-6f59-4cec-8286-2cf2ed416c24,8ca6b261-7887-414e-b9f7-3fe106ac941d,0.0,true,true,M-1000,false
2f5a3229-e812-45bb-995f-444e25be7afe,Remote Monitoring Subscription,b4b97aa1-6f59-4cec-8286-2cf2ed416c24,dfc8ff15-502c-4c58-922e-82d743ed5f66,800.0,true,true,R-100,false
2f8e71e7-7741-4a94-bbbc-8dadc32ab4bf,Performance Optimization,b4b97aa1-6f59-4cec-8286-2cf2ed416c24,40e74082-78ba-4b7e-9f3a-bf6cad99d360,500.0,true,true,L-100,false
3836f167-1ffe-4a46-a0ac-66d7c5350841,"Battery, Low Capacity",b4b97aa1-6f59-4cec-8286-2cf2ed416c24,feaf9bce-1fd8-49dc-bcfb-2a4e8e99dfe1,1500.0,true,true,C-45678,false
8681d6e3-7d15-4407-b6ff-42470804b2e2,Wind Turbine Exploded Parts,b4b97aa1-6f59-4cec-8286-2cf2ed416c24,a2e54fcf-6888-4958-ae9b-aa19ca019aa7,0.0,true,false,WT-EXP100,false
9bbb0b67-e96a-4591-9c4c-6287300c96e6,Installation Services,b4b97aa1-6f59-4cec-8286-2cf2ed416c24,7ee10cc9-e534-4ca4-b11e-0ea72ce0492c,1100.0,true,true,INST-100,false
9d6f6ce5-2a75-4d46-a45c-db3a23bc3846,Power Inverter,b4b97aa1-6f59-4cec-8286-2cf2ed416c24,cc9c4320-d09b-4a21-a883-afa1163bbf71,2500.0,true,false,H-36378,false
bc62a6a6-3876-4265-8162-a833b075f12e,Connector Cables,b4b97aa1-6f59-4cec-8286-2cf2ed416c24,73b72920-ff99-4944-99df-60472564eff1,250.0,true,true,C-300,false
d0a9b192-a6b0-4aac-9822-40309816bc74,Small Turbine,b4b97aa1-6f59-4cec-8286-2cf2ed416c24,27a1e8ed-4b28-4123-a103-c8905993c885,6000.0,true,true,A-100,false
d2bee3e3-f2f2-4e07-ab9d-d5db30a0d3b1,Product B,b4b97aa1-6f59-4cec-8286-2cf2ed416c24,303fee31-ab88-49ac-ba42-e13a983fba36,999.0,true,true,46372818,false
db5cbf5d-fd80-4c77-85a0-7ef144892d6e,Product A,b4b97aa1-6f59-4cec-8286-2cf2ed416c24,1c10d8a1-4599-459d-bd6e-c48cb40636a4,599.0,true,true,46372819,false
df664f76-3631-43ca-8c32-14ea1f578671,Labor,b4b97aa1-6f59-4cec-8286-2cf2ed416c24,fabfca28-7c3e-4f26-ac84-1706d56a9edb,150.0,true,true,L-1000,false
e749267b-122f-44ab-9275-c849ece1c322,Product C,b4b97aa1-6f59-4cec-8286-2cf2ed416c24,139820c0-930f-4610-9c79-4f8c0718b1df,1499.0,true,true,46372817,false
ead3dd17-2a5a-4a32-9959-c5a08285b6de,Energy Meter,b4b97aa1-6f59-4cec-8286-2cf2ed416c24,d7f87947-b1cd-4f4c-a0fc-4e0f469d29a3,500.0,true,true,E-1000,false
f9a442fd-b307-491b-b181-ef5b110cb135,Starter Kit,b4b97aa1-6f59-4cec-8286-2cf2ed416c24,d201fce2-ddf7-48dc-aed7-322293dcbda8,12500.0,true,true,A-5000,false
